,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,61.15,47.56,33.95,26.17,25.01,24.21,18.26,9.91,4.44,3.19,5.08,8.62,13.43,19.91,25.3,26.07,24.15,23.48,25.04,28.03
2,62.15,56.33,45.39,36.21,32.29,29.44,22.47,13.49,7.25,5.29,7.14,11.7,18.34,26.53,32.36,32.19,29.03,27.76,29.12,31.31
3,53.26,57.05,53.2,46.65,41.72,36.39,27.37,17.53,11.19,9.35,11.79,17.64,25.66,34.27,39.29,37.73,33.49,31.53,31.91,32.02
4,38.02,48.85,53.72,53.76,51.44,45.16,33.66,22.23,16.22,16.01,20.22,27.05,34.73,42.04,45.55,42.63,37.18,33.94,32.4,29.72
5,22.31,34.94,46.23,54.32,58.16,54.18,41.72,28.77,23.21,25.54,32.16,39.09,44.72,49.58,51.17,46.58,39.46,34.29,30.29,25.03
6,10.63,20.64,33.62,47.72,59.1,60.8,50.8,38.44,33.73,37.69,45.45,51.72,55.1,57.24,56.27,49.35,40,32.46,26.02,19.06
7,4.08,10.03,20.73,36.68,54.04,63.27,59.58,51.23,48.06,51.45,57.8,62.91,65,65,61.23,51.36,39.08,28.78,20.34,12.87
8,1.27,4.12,11.33,25.85,46.18,62.54,67.24,65,63.59,65,68.35,71.54,72.83,72.14,66.67,53.57,37.34,23.9,14.26,7.51
9,0.37,1.74,6.67,19.48,40.96,62.25,73.55,76.19,76.19,76.19,76.78,77.37,77.76,77.83,72.29,56.28,35.65,19.21,9.18,3.83
10,0.3,1.59,6.58,20.02,42.99,66.04,78.59,82.09,82.81,82.71,81.93,80.85,80.75,81.55,76.19,58.43,35.06,16.86,6.76,2.27
11,0.99,3.67,11.35,28.19,53.12,74.54,82.8,82.81,82.52,82.8,82.81,82.64,82.8,82.81,76.5,58.69,36.09,18.5,8.23,3.14
12,3.48,9.54,21.94,42.74,68.1,85.39,86.75,80.27,76.37,76.89,79.91,82.51,82.8,80.95,73.47,57.16,38.13,23.53,13.69,6.99
13,9.94,21.21,38.1,60.25,83.34,95.62,89.95,76.07,67.57,68.26,74.25,78.74,78.57,75.9,69.14,55.27,40,29.29,21.49,14.03
14,22.74,38.81,56.93,76.7,95.73,102.92,91,71.55,60.25,60.34,65.96,69.7,69.59,68.9,65.27,54.07,41.05,33.28,28.75,22.94
15,42.04,59.3,74.38,89.41,103.62,105.9,89.91,68.58,56.24,53.45,54.85,56.37,58.02,61.78,62.27,53.19,41.06,34.74,33.17,30.91
16,64.5,78.23,87.61,96.89,106.19,105.5,88.99,67.8,53.21,45.39,42.12,42.63,47.25,55.66,59.66,51.8,39.78,34,34.32,35.57
17,85.24,92.47,94.97,98.36,104.9,105.07,89.82,66.73,47.31,35.05,30.44,32.42,39.72,50.96,56.98,49.6,37.17,31.41,32.77,36.46
18,100.78,100.18,95.62,95.5,103.65,106.69,90.17,61.66,37.35,24.26,22.18,27.13,36.07,48.04,54.43,46.79,33.62,27.39,29.11,34.23
19,109.09,100.44,91.47,92.74,104.78,107.95,86.1,51.73,25.98,15.82,17.91,25.67,35.47,47.18,52.79,44,29.7,22.66,24.02,29.62
20,109.17,95.42,87.47,92.67,105.57,104.36,76.66,40.1,16.81,10.96,16.6,26.3,36.73,48.23,52.76,42.06,26,17.88,18.48,23.59
